FIPS,danger,bins_num,bins_labels
39075,321,2,Medium Risk
39077,393,2,Medium Risk
39079,292,2,Medium Risk
39081,288,2,Medium Risk
39083,328,2,Medium Risk
39085,416,3,High Risk
39087,355,2,Medium Risk
39089,441,3,High Risk
39091,337,2,Medium Risk
39093,594,3,High Risk
39095,482,3,High Risk
39097,248,2,Medium Risk
39099,357,2,Medium Risk
39101,328,2,Medium Risk
39103,453,3,High Risk
39105,300,2,Medium Risk
39107,346,2,Medium Risk
39109,360,2,Medium Risk
39111,193,2,Medium Risk
39113,642,3,High Risk
39115,240,2,Medium Risk
39117,246,2,Medium Risk
39119,329,2,Medium Risk
39121,183,2,Medium Risk
39123,347,2,Medium Risk
39125,230,2,Medium Risk
39127,334,2,Medium Risk
39129,302,2,Medium Risk
39131,295,2,Medium Risk
39133,420,3,High Risk
39135,330,2,Medium Risk
39137,268,2,Medium Risk
39139,465,3,High Risk
39141,367,2,Medium Risk
39143,352,2,Medium Risk
39145,490,3,High Risk
39147,385,2,Medium Risk
39149,332,2,Medium Risk
39151,550,3,High Risk
39153,562,3,High Risk
39155,560,3,High Risk
39157,438,3,High Risk
39159,273,2,Medium Risk
39161,300,2,Medium Risk
39163,267,2,Medium Risk
39165,550,3,High Risk
39167,393,2,Medium Risk
39169,408,3,High Risk
39171,161,2,Medium Risk
39173,444,3,High Risk
39175,223,2,Medium Risk
40001,423,3,High Risk
40003,569,3,High Risk
40005,346,2,Medium Risk
40007,924,3,High Risk
40009,586,3,High Risk
40011,448,3,High Risk
40013,401,2,Medium Risk
40015,872,3,High Risk
40017,772,3,High Risk
40019,524,3,High Risk
40021,593,3,High Risk
40023,346,2,Medium Risk
40025,635,3,High Risk
40027,867,3,High Risk
40029,237,2,Medium Risk
40031,885,3,High Risk
40033,386,2,Medium Risk
40035,451,3,High Risk
40037,749,3,High Risk
40039,569,3,High Risk
40041,490,3,High Risk
40043,533,3,High Risk
40045,508,3,High Risk
40047,815,3,High Risk
40049,457,3,High Risk
40051,699,3,High Risk
40053,535,3,High Risk
40055,420,3,High Risk
40057,417,3,High Risk
40059,521,3,High Risk
40061,403,3,High Risk
40063,298,2,Medium Risk
40065,708,3,High Risk
40067,410,3,High Risk
40069,340,2,Medium Risk
40071,852,3,High Risk
40073,542,3,High Risk
40075,739,3,High Risk
40077,405,3,High Risk
40079,973,3,High Risk
40081,488,3,High Risk
40083,541,3,High Risk
40085,269,2,Medium Risk
40087,501,3,High Risk
40089,574,3,High Risk
40091,555,3,High Risk
40093,472,3,High Risk
40095,257,2,Medium Risk
40097,589,3,High Risk
40099,350,2,Medium Risk
40101,707,3,High Risk
40103,405,3,High Risk
40105,406,3,High Risk
40107,487,3,High Risk
40109,1316,4,Very High Risk
40111,578,3,High Risk
40113,1036,3,High Risk
40115,494,3,High Risk
40117,517,3,High Risk
40119,539,3,High Risk
40121,674,3,High Risk
40123,468,3,High Risk
40125,460,3,High Risk
40127,497,3,High Risk
40129,530,3,High Risk
