FIPS,damage,deaths,injuries,cost,cost_percent_of_median,cost_bins,danger_bins
29223,47400000.0,0.0,43.0,49550000.0,104.90657915630128,3,3
29225,51487350.0,5.0,52.0,99087350.0,209.78637590642037,3,4
29227,835500.0,14.0,0.0,126835500.0,268.534377811888,3,1
29229,12968000.0,2.0,4.0,31168000.0,65.98846133488594,2,3
29510,106578000.0,213.0,5120.0,2279578000.0,4826.291218969989,5,2
30001,52000.0,4.0,23.0,37202000.0,78.76356322447468,2,2
30003,6522000.0,8.0,3.0,78672000.0,166.56327740432963,3,2
30005,185500.0,0.0,0.0,185500.0,0.3927380511300481,0,2
30007,0.0,1.0,0.0,9000000.0,19.054676335150585,2,0
30009,2140000.0,9.5,0.0,87640000.0,185.55020377917748,3,2
30011,9403000.0,0.0,0.0,9403000.0,19.90790239771344,2,3
30013,1102600.0,4.0,10.0,37602600.0,79.61170804001482,2,2
30015,680000.0,0.0,0.0,680000.0,1.4396866564335997,0,2
30017,2420000.0,2.0,3.0,20570000.0,43.55052135711639,2,2
30019,610500.0,0.0,0.0,610500.0,1.292542211401048,0,2
30021,5993000.0,2.0,10.0,24493000.0,51.856243052982585,2,2
30023,1251825.0,2.5,7.0,24101825.0,51.028052717937854,2,1
30025,2878000.0,0.0,7.0,3228000.0,6.834277245540676,1,3
30027,4322000.0,2.0,3.0,22472000.0,47.57740962261155,2,3
30029,18461800.0,13.999999999999998,20.33333333333333,145478466.66666666,308.0050106741474,3,2
30031,62602600.0,7.4,15.2,129962600.0,275.155030963849,3,1
30033,5085500.0,0.0,1.0,5135500.0,10.87281003546287,1,2
30035,2987000.0,0.0,5.0,3237000.0,6.853331921875827,1,3
30037,50000.0,0.0,0.0,50000.0,0.10585931297305881,0,0
30039,625325.0,6.166666666666666,9.666666666666668,56608658.33333333,119.85107358986573,3,1
30041,1091000.0,0.0,1.0,1141000.0,2.415709522045202,1,1
30043,100000.0,0.0,2.0,200000.0,0.42343725189223524,0,0
30045,55000.0,0.0,0.0,55000.0,0.11644524427036468,0,2
30047,10559566.666666668,12.0,22.33333333333333,119676233.33333334,253.37687679740296,3,2
30049,7790000.0,0.0,11.0,8340000.0,17.657333403906208,2,3
30051,4000.0,0.0,0.0,4000.0,0.008468745037844705,0,1
30053,2119133.333333333,2.0,8.999999999999998,20569133.333333332,43.54868646235819,2,1
30055,3583800.0,0.0,8.0,3983800.0,8.434446620441435,1,2
30057,72000.0,4.0,1.0,36122000.0,76.47700206425661,2,1
30059,175000.0,0.0,0.0,175000.0,0.3705075954057058,0,1
30061,1027333.3333333335,4.333333333333333,10.666666666666666,40560666.66666667,85.87448614125162,2,1
30063,8639233.333333334,16.999999999999996,69.33333333333333,165105899.99999997,349.55994283597096,3,2
30065,6239000.0,0.0,0.0,6239000.0,13.209125072778278,1,1
30067,33161600.0,3.9,7.2,68621600.0,145.28470862224103,3,3
30069,1205200.0,1.0,1.0,10255200.0,21.712168528026254,2,1
30071,1625000.0,0.0,10.0,2125000.0,4.499020801354999,1,3
30073,2205000.0,0.0,2.0,2305000.0,4.880114328058011,1,2
30075,482500.0,0.0,0.0,482500.0,1.0215423701900175,0,3
30077,677825.0,4.5,9.0,41627825.0,88.13385910125443,2,1
30079,766000.0,0.0,0.0,766000.0,1.621764674747261,0,1
30081,6622000.0,11.666666666666664,50.66666666666666,114155333.33333331,241.68810317754367,3,1
30083,3370000.0,0.0,8.0,3770000.0,7.981792198168634,1,2
30085,14196500.0,7.0,10.0,77696500.0,164.4979622082253,3,3
30087,997000.0,6.0,5.0,55247000.0,116.96818927645161,3,2
30089,6212533.333333334,9.333333333333332,21.0,91262533.33333331,193.21978157695085,3,1
30091,11590000.0,4.0,3.0,47740000.0,101.07447202667655,3,2
30093,595825.0,2.5,2.0,23195825.0,49.109881966866034,2,1
30095,3120000.0,13.5,0.0,124620000.0,263.84375165405174,3,2
30097,6000000.0,3.5,0.0,37500000.0,79.3944847297941,2,1
30099,1756000.0,0.0,0.0,1756000.0,3.7177790716138257,1,1
30101,41000.0,0.0,8.0,441000.0,0.9336791404223787,0,0
30103,300000.0,0.0,0.0,300000.0,0.6351558778383528,0,0
30105,17265500.0,2.0,16.0,36065500.0,76.35738104059705,2,4
30107,60000.0,0.0,0.0,60000.0,0.12703117556767055,0,2
30109,436900.0,6.0,2.0,54536900.0,115.46477531360821,3,1
30111,47047000.0,8.0,7.0,119397000.0,252.78568782088607,3,3
31001,131401360.0,0.0,24.0,132601360.0,280.7417773778648,3,3
31003,14653000.0,1.0,0.0,23653000.0,50.0778065950352,2,3
31005,400500.0,0.0,4.0,600500.0,1.2713703488064363,0,2
31007,11019000.0,0.0,4.0,11219000.0,23.752712644894935,2,2
31009,2689000.0,0.0,0.0,2689000.0,5.693113851691103,1,2
31011,16596000.0,0.0,4.0,16796000.0,35.56026041390991,2,2
31013,2044900.0,2.0,3.0,20194900.0,42.7563647911925,2,2
31015,61552400.0,2.0,0.0,79552400.0,168.42724818715925,3,0
31017,65423500.0,0.0,2.0,65523500.0,138.72545387180438,3,2
31019,134857160.0,12.0,30.0,244357160.0,517.3496215529561,3,3
31021,2004000.0,2.0,2.0,20104000.0,42.563912560207484,2,2
31023,6527000.0,2.0,8.0,24927000.0,52.77510188958874,2,2
31025,10825000.0,6.0,15.0,65575000.0,138.8344889641666,3,3
31027,8956000.0,1.0,3.0,18106000.0,38.33377441380406,2,3
31029,25270500.0,0.0,4.0,25470500.0,53.925792621605886,2,2
31031,47485850.0,0.0,1.0,47535850.0,100.64224845180756,3,5
31033,9869000.0,4.0,38.0,47769000.0,101.13587042820092,3,3
31035,50526160.0,0.0,0.0,50526160.0,106.9732916953369,3,3
31037,7276000.0,0.0,0.0,7276000.0,15.404647223839518,2,2
31039,3515000.0,1.0,4.0,12715000.0,26.920023289048856,2,3
31041,72593500.0,6.0,8.0,126993500.0,268.86889324088287,3,4
31043,9381000.0,2.0,3.0,27531000.0,58.288254909225635,2,2
31045,1367500.0,0.0,1.0,1417500.0,3.0011115227862173,1,2
31047,33415160.0,4.0,24.0,70615160.0,149.50544646165247,3,3
31049,1125700.0,2.0,5.0,19375700.0,41.021965807441916,2,2
31051,3649000.0,0.0,1.0,3699000.0,7.831471973746891,1,2
31053,15901000.0,8.0,6.0,88201000.0,186.7379452707352,3,3
31055,620182000.0,23.0,123.0,833332000.0,1764.3190599693007,4,3
31057,1386500.0,0.0,0.0,1386500.0,2.9354787487429204,1,2
31059,38259160.0,0.0,4.0,38459160.0,81.42520510241889,2,3
31061,15326160.0,2.0,0.0,33326160.0,70.55768803260467,2,2
31063,14476300.0,0.0,2.0,14576300.0,30.860742073783943,2,3
31065,17843160.0,0.0,0.0,17843160.0,37.77729317736728,2,2
31067,46084500.0,1.0,32.0,56684500.0,120.01164452442703,3,4
31069,25225500.0,0.0,0.0,25225500.0,53.407081988037895,2,2
31071,3181400.0,0.0,1.0,3231400.0,6.841475678822845,1,2
31073,11248160.0,0.0,4.0,11448160.0,24.23788704811306,2,2
31075,2385000.0,0.0,0.0,2385000.0,5.049489228814905,1,1
31077,13509160.0,0.0,0.0,13509160.0,28.601407928862542,2,2
31079,61037160.0,10.0,32.0,152637160.0,323.16129783517704,3,2
31081,30318160.0,2.0,6.0,48618160.0,102.93370031228497,3,3
31083,11665160.0,0.0,0.0,11665160.0,24.697316466416133,2,2
31085,7572500.0,0.0,0.0,7572500.0,16.032392949769754,2,2
31087,5895250.0,1.0,0.0,14895250.0,31.53601863123908,2,2
