id,time,location,latitude,longitude,depth,magnitude,url
usp000j9jz,2011-10-20 00:10:04.300,"Hawaii region, Hawaii",19.88,-155.53,18.8,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000j9jz
usp000jdv5,2012-01-23 02:36:32.200,"Hawaii region, Hawaii",19.321,-155.121,8.5,4.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp000jdv5
usp000jfaa,2012-02-24 07:02:24.090,"Hawaii region, Hawaii",19.433,-155.314,5.5,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000jfaa
usp000jfar,2012-02-24 13:52:45.200,"Hawaii region, Hawaii",19.435,-155.312,6.4,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000jfar
usp000jgqw,2012-03-24 20:47:15.200,"Hawaii region, Hawaii",19.863,-155.133,43.2,4.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp000jgqw
usp000jw1h,2012-11-25 03:59:46.180,"Hawaii region, Hawaii",18.958,-155.196,23.8,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp000jw1h
usp000jxwg,2013-01-05 14:37:18.000,"Hawaii region, Hawaii",19.337,-155.066,9.0,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp000jxwg
usb000g6fd,2013-04-13 20:45:22.900,"50km NE of Honoka'a, Hawaii",20.383,-154.932,17.3,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usb000g6fd
hv60508246,2013-06-05 00:12:39.700,"54km SE of Pahala, Hawaii",18.9148,-155.061,40.3,5.3,https://earthquake.usgs.gov/earthquakes/eventpage/hv60508246
usc000hx0t,2013-06-21 10:04:07.000,"48km N of Kualapu'u, Hawaii",21.38,-157.065,11.9,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/usc000hx0t
hv60521547,2013-08-11 15:54:05.400,"10km SSW of Volcano, Hawaii",19.3385,-155.2703,31.8,4.9,https://earthquake.usgs.gov/earthquakes/eventpage/hv60521547
usc000rcdg,2014-06-07 02:42:21.420,"34km SW of Kaunakakai, Hawaii",20.8987,-157.2876,7.44,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usc000rcdg
hv60748981,2014-08-07 16:24:04.200,"14km WNW of Waimea, Hawaii",20.0788,-155.7935,16.8,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/hv60748981
usb000s268,2014-08-12 07:47:43.530,"30km ENE of Honoka'a, Hawaii",20.1567,-155.19,22.72,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usb000s268
usb000s5c6,2014-08-22 12:37:13.470,"74km WSW of Lana'i City, Hawaii",20.6613,-157.6171,16.75,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usb000s5c6
