County or equivalent,State or district,Rank,Population
Pend Oreille County,Washington,2242,"12,980"
Pierce County,Washington,70,"8,11,681"
San Juan County,Washington,2057,"15,824"
Skagit County,Washington,514,"1,18,222"
Skamania County,Washington,2347,"11,187"
Snohomish County,Washington,83,"7,33,036"
Spokane County,Washington,139,"4,75,735"
Stevens County,Washington,1098,"43,538"
Thurston County,Washington,256,"2,58,332"
Wahkiakum County,Washington,2906,"3,993"
Walla Walla County,Washington,871,"59,404"
Whatcom County,Washington,306,"2,05,262"
Whitman County,Washington,1038,"46,606"
Yakima County,Washington,266,"2,46,977"
Barbour County,West Virginia,2012,"16,493"
Berkeley County,West Virginia,554,"1,07,098"
Boone County,West Virginia,1623,"24,478"
Braxton County,West Virginia,2141,"14,468"
Brooke County,West Virginia,1651,"23,853"
Cabell County,West Virginia,603,"96,974"
Calhoun County,West Virginia,2633,"7,607"
Clay County,West Virginia,2494,"9,297"
Doddridge County,West Virginia,2592,"8,178"
Fayette County,West Virginia,1050,"45,869"
Gilmer County,West Virginia,2542,"8,732"
Grant County,West Virginia,2309,"11,816"
Greenbrier County,West Virginia,1281,"35,820"
Hampshire County,West Virginia,1656,"23,709"
Hancock County,West Virginia,1423,"30,305"
Hardy County,West Virginia,2181,"13,866"
Harrison County,West Virginia,769,"69,141"
Jackson County,West Virginia,1445,"29,234"
Jefferson County,West Virginia,917,"54,504"
Kanawha County,West Virginia,331,"1,92,179"
Lewis County,West Virginia,2019,"16,371"
Lincoln County,West Virginia,1747,"21,627"
Logan County,West Virginia,1272,"36,168"
McDowell County,West Virginia,1767,"21,326"
Marion County,West Virginia,895,"56,678"
Marshall County,West Virginia,1365,"32,674"
Mason County,West Virginia,1524,"27,179"
Mercer County,West Virginia,836,"62,523"
Mineral County,West Virginia,1496,"27,956"
Mingo County,West Virginia,1557,"26,103"
Monongalia County,West Virginia,587,"1,00,332"
Monroe County,West Virginia,2215,"13,463"
Morgan County,West Virginia,1954,"17,471"
Nicholas County,West Virginia,1552,"26,229"
Ohio County,West Virginia,1084,"44,075"
Pendleton County,West Virginia,2637,"7,566"
Pleasants County,West Virginia,2634,"7,595"
Pocahontas County,West Virginia,2549,"8,692"
Preston County,West Virginia,1331,"33,832"
Putnam County,West Virginia,898,"56,435"
Raleigh County,West Virginia,697,"79,021"
Randolph County,West Virginia,1437,"29,384"
Ritchie County,West Virginia,2422,"10,236"
Roane County,West Virginia,2129,"14,684"
Summers County,West Virginia,2194,"13,737"
Taylor County,West Virginia,1983,"16,991"
Tucker County,West Virginia,2686,"6,995"
Tyler County,West Virginia,2518,"9,037"
Upshur County,West Virginia,1624,"24,477"
Wayne County,West Virginia,1136,"41,649"
Webster County,West Virginia,2517,"9,043"
Wetzel County,West Virginia,2017,"16,422"
Wirt County,West Virginia,2778,"5,847"
Wood County,West Virginia,654,"86,701"
Wyoming County,West Virginia,1677,"23,273"
Adams County,Wisconsin,1799,"20,679"
Ashland County,Wisconsin,2048,"15,992"
Barron County,Wisconsin,1053,"45,733"
Bayfield County,Wisconsin,2101,"15,099"
Brown County,Wisconsin,261,"2,53,032"
Buffalo County,Wisconsin,2221,"13,333"
Burnett County,Wisconsin,2082,"15,382"
Calumet County,Wisconsin,989,"49,634"
Chippewa County,Wisconsin,828,"62,922"
Clark County,Wisconsin,1314,"34,435"
Columbia County,Wisconsin,897,"56,539"
Crawford County,Wisconsin,2007,"16,560"
Dane County,Wisconsin,130,"5,03,523"
Dodge County,Wisconsin,644,"88,415"
Door County,Wisconsin,1502,"27,817"
Douglas County,Wisconsin,1092,"43,785"
Dunn County,Wisconsin,1085,"44,072"
Eau Claire County,Wisconsin,581,"1,00,677"
Florence County,Wisconsin,2870,"4,482"
Fond du Lac County,Wisconsin,574,"1,01,843"
Forest County,Wisconsin,2502,"9,206"
Grant County,Wisconsin,968,"51,087"
Green County,Wisconsin,1249,"36,909"
Green Lake County,Wisconsin,1872,"19,039"
Iowa County,Wisconsin,1654,"23,807"
Iron County,Wisconsin,2767,"5,934"
Jackson County,Wisconsin,1815,"20,485"
Jefferson County,Wisconsin,666,"84,498"
Juneau County,Wisconsin,1543,"26,631"
Kenosha County,Wisconsin,372,"1,67,936"
Kewaunee County,Wisconsin,1804,"20,624"
La Crosse County,Wisconsin,521,"1,16,461"
Lafayette County,Wisconsin,1991,"16,853"
Langlade County,Wisconsin,1851,"19,646"
Lincoln County,Wisconsin,1474,"28,392"
Manitowoc County,Wisconsin,684,"80,671"
Marathon County,Wisconsin,466,"1,34,735"
Marinette County,Wisconsin,1140,"41,563"
Marquette County,Wisconsin,2092,"15,205"
Menominee County,Wisconsin,2880,"4,340"
Milwaukee County,Wisconsin,47,"9,55,205"
Monroe County,Wisconsin,1066,"45,100"
Oconto County,Wisconsin,1235,"37,442"
Oneida County,Wisconsin,1283,"35,714"
Outagamie County,Wisconsin,353,"1,78,816"
Ozaukee County,Wisconsin,653,"86,823"
Pepin County,Wisconsin,2648,"7,390"
Pierce County,Wisconsin,1159,"40,814"
Polk County,Wisconsin,1097,"43,610"
Portage County,Wisconsin,759,"70,433"
Price County,Wisconsin,2180,"13,869"
Racine County,Wisconsin,325,"1,94,797"
Richland County,Wisconsin,1928,"17,818"
Rock County,Wisconsin,392,"1,60,418"
Rusk County,Wisconsin,2150,"14,316"
St. Croix County,Wisconsin,660,"85,242"
Sauk County,Wisconsin,834,"62,597"
Sawyer County,Wisconsin,2004,"16,581"
Shawano County,Wisconsin,1139,"41,607"
Sheboygan County,Wisconsin,525,"1,15,009"
Taylor County,Wisconsin,1814,"20,486"
Trempealeau County,Wisconsin,1439,"29,297"
Vernon County,Wisconsin,1425,"30,260"
Vilas County,Wisconsin,1765,"21,338"
Walworth County,Wisconsin,569,"1,02,851"
Washburn County,Wisconsin,2056,"15,826"
Washington County,Wisconsin,471,"1,32,661"
Waukesha County,Wisconsin,171,"3,92,292"
Waupaca County,Wisconsin,953,"52,131"
Waushara County,Wisconsin,1626,"24,461"
Winnebago County,Wisconsin,369,"1,68,794"
Wood County,Wisconsin,735,"74,424"
Albany County,Wyoming,1240,"37,276"
Big Horn County,Wyoming,2311,"11,794"
Campbell County,Wyoming,1017,"47,874"
Carbon County,Wyoming,2067,"15,666"
Converse County,Wyoming,2176,"14,008"
Crook County,Wyoming,2665,"7,155"
Fremont County,Wyoming,1151,"41,110"
Goshen County,Wyoming,2204,"13,636"
Hot Springs County,Wyoming,2850,"4,822"
Johnson County,Wyoming,2555,"8,615"
Laramie County,Wyoming,614,"94,483"
Lincoln County,Wyoming,1922,"17,961"
Natrona County,Wyoming,698,"78,621"
Niobrara County,Wyoming,3010,"2,456"
Park County,Wyoming,1459,"28,702"
Platte County,Wyoming,2538,"8,756"
Sheridan County,Wyoming,1435,"29,596"
Sublette County,Wyoming,2408,"10,368"
Sweetwater County,Wyoming,1061,"45,267"
Teton County,Wyoming,1745,"21,675"
Uinta County,Wyoming,1779,"21,025"
Washakie County,Wyoming,2567,"8,464"
Weston County,Wyoming,2676,"7,082"
